Alabama,AL,2 Hours ,3 Hours
Birmingham International Airport,BHM,2 Hours ,3 Hours
Dothan Regional Airport,DHN,2 Hours ,3 Hours
Huntsville International Airport,HSV,2 Hours ,3 Hours
Mobile,MOB,2 Hours ,3 Hours
Montgomery,MGM,2 Hours ,3 Hours
Alaska,AK,2 Hours ,3 Hours
Anchorage International Airport,ANC,2 Hours ,3 Hours
Fairbanks International Airport,FAI,2 Hours ,3 Hours
Juneau International Airport,JNU,2 Hours ,3 Hours
Arizona,AZ,2 Hours ,3 Hours
Flagstaff,FLG,2 Hours ,3 Hours
"Phoenix,ÿPhoenix Sky Harbor International Airport",PHX,2 Hours ,3 Hours
Tucson International Airport,TUS,2 Hours ,3 Hours
Yuma International Airport,YUM,2 Hours ,3 Hours
Arkansas,AR,2 Hours ,3 Hours
Fayetteville,FYV,2 Hours ,3 Hours
Little Rock National Airport,LIT,2 Hours ,3 Hours
Northwest Arkansas Regional Airport,XNA,2 Hours ,3 Hours
California,CA,2 Hours ,3 Hours
Burbank,BUR,2 Hours ,3 Hours
Fresno,FAT,2 Hours ,3 Hours
Long Beach,LGB,2 Hours ,3 Hours
Los Angeles International Airport,LAX,2 Hours ,3 Hours
Oakland,OAK,2 Hours ,3 Hours
Ontario,ONT,2 Hours ,3 Hours
Palm Springs,PSP,2 Hours ,3 Hours
Sacramento,SMF,2 Hours ,3 Hours
San Diego,SAN,2 Hours ,3 Hours
San Francisco International Airport,SFO,2 Hours ,3 Hours
San Jose,SJC,2 Hours ,3 Hours
Santa Ana,SNA,2 Hours ,3 Hours
Colorado,CO,2 Hours ,3 Hours
Aspen,ASE,2 Hours ,3 Hours
Colorado Springs,COS,2 Hours ,3 Hours
Denver International Airport,DEN,2 Hours ,3 Hours
Grand Junction,GJT,2 Hours ,3 Hours
Pueblo,PUB,2 Hours ,3 Hours
Connecticut,CT,2 Hours ,3 Hours
Hartford,BDL,2 Hours ,3 Hours
District of Columbia,DC,2 Hours ,3 Hours
"Washington,ÿDulles International Airport",IAD,2 Hours ,3 Hours
Washington National Airport,DCA,2 Hours ,3 Hours
Florida,FL,2 Hours ,3 Hours
Daytona Beach,DAB,2 Hours ,3 Hours
Fort Lauderdale-Hollywood International Airport,FLL,2 Hours ,3 Hours
Fort Meyers,RSW,2 Hours ,3 Hours
Jacksonville,JAX,2 Hours ,3 Hours
Key West International Airport,EYW,2 Hours ,3 Hours
Miami International Airport,MIA,2 Hours ,3 Hours
